1500569663.71={"ticker":{"high":310,"low":280,"last":303.11,"vol":41812.449551,"buy":302.1,"sell":303.11}}
1500569693.97={"ticker":{"high":310,"low":280,"last":303.11,"vol":41812.438471,"buy":302.1,"sell":303.11}}
1500569724.23={"ticker":{"high":310,"low":280,"last":303.11,"vol":41812.189478,"buy":302.08,"sell":303.11}}
1500569754.47={"ticker":{"high":310,"low":280,"last":303.11,"vol":41811.849478,"buy":302.08,"sell":303.11}}
1500569784.77={"ticker":{"high":310,"low":280,"last":302.08,"vol":41812.16132,"buy":302.09,"sell":303.08}}
1500569815.04={"ticker":{"high":310,"low":280,"last":302.08,"vol":41812.14132,"buy":302.09,"sell":303.08}}
1500569845.3={"ticker":{"high":310,"low":280,"last":302.08,"vol":41812.12132,"buy":302.09,"sell":303.08}}
1500569875.58={"ticker":{"high":310,"low":280,"last":302.09,"vol":41815.071698,"buy":302.08,"sell":302.09}}
1500569906.28={"ticker":{"high":310,"low":280,"last":302.08,"vol":42028.397156,"buy":302.09,"sell":303.08}}
1500569936.54={"ticker":{"high":310,"low":280,"last":303.08,"vol":41990.175824,"buy":302.09,"sell":303.08}}
1500569966.84={"ticker":{"high":310,"low":280,"last":303.08,"vol":42131.916579,"buy":302,"sell":303.08}}
1500569997.07={"ticker":{"high":310,"low":280,"last":302.09,"vol":42134.116579,"buy":302,"sell":302.09}}
1500570027.33={"ticker":{"high":310,"low":280,"last":302.09,"vol":42135.116579,"buy":302,"sell":302.09}}
1500570057.55={"ticker":{"high":310,"low":280,"last":302.09,"vol":42133.526713,"buy":302,"sell":302.09}}
1500570087.75={"ticker":{"high":310,"low":280,"last":302,"vol":42221.939717,"buy":302,"sell":302.09}}
1500570118.23={"ticker":{"high":310,"low":280,"last":302.09,"vol":42223.886898,"buy":302,"sell":302.09}}
1500570148.48={"ticker":{"high":310,"low":280,"last":302,"vol":42233.886898,"buy":302,"sell":302.09}}
1500570178.78={"ticker":{"high":310,"low":280,"last":302,"vol":42268.872096,"buy":302,"sell":302.09}}
1500570209.08={"ticker":{"high":310,"low":280,"last":302,"vol":42272.451096,"buy":302,"sell":302.09}}
1500570239.28={"ticker":{"high":310,"low":280,"last":302,"vol":42274.446797,"buy":302,"sell":302.09}}
1500570269.54={"ticker":{"high":310,"low":280,"last":302,"vol":42274.446797,"buy":302,"sell":302.09}}
1500570299.77={"ticker":{"high":310,"low":280,"last":302.09,"vol":42298.479256,"buy":302.09,"sell":303.5}}
1500570330.01={"ticker":{"high":310,"low":280,"last":302.09,"vol":42298.479256,"buy":302,"sell":302.09}}
1500570360.23={"ticker":{"high":310,"low":280,"last":302.09,"vol":42298.633797,"buy":302,"sell":302.09}}
1500570390.55={"ticker":{"high":310,"low":280,"last":302,"vol":42298.702073,"buy":302,"sell":304.5}}
1500570420.78={"ticker":{"high":310,"low":280,"last":303,"vol":42333.22129,"buy":302,"sell":302.99}}
1500570451.03={"ticker":{"high":310,"low":280,"last":303.09,"vol":42353.478804,"buy":302.02,"sell":304.48}}
1500570481.24={"ticker":{"high":310,"low":280,"last":303.09,"vol":42353.478804,"buy":302,"sell":303.95}}
1500570511.49={"ticker":{"high":310,"low":280,"last":303.09,"vol":42353.478804,"buy":302,"sell":303.8}}
1500570541.76={"ticker":{"high":310,"low":280,"last":303.09,"vol":42353.478804,"buy":302.1,"sell":303.78}}
1500570571.97={"ticker":{"high":310,"low":280,"last":302.1,"vol":42383.250747,"buy":302.1,"sell":304.48}}
1500570602.27={"ticker":{"high":310,"low":280,"last":302.1,"vol":42383.250747,"buy":302.1,"sell":304.48}}
1500570632.47={"ticker":{"high":310,"low":280,"last":302.1,"vol":42383.250747,"buy":302.1,"sell":304.48}}
1500570662.74={"ticker":{"high":310,"low":280,"last":302.1,"vol":42383.250747,"buy":302.1,"sell":304.48}}
1500570692.99={"ticker":{"high":310,"low":280,"last":302.1,"vol":42382.760747,"buy":302.1,"sell":304.48}}
1500570723.27={"ticker":{"high":310,"low":280,"last":304.48,"vol":42382.767315,"buy":302.1,"sell":304.48}}
1500570753.51={"ticker":{"high":310,"low":280,"last":304.48,"vol":42382.767315,"buy":302.1,"sell":304.5}}
1500570783.7={"ticker":{"high":310,"low":280,"last":302.1,"vol":42386.255315,"buy":302.11,"sell":304.48}}
1500570814.3={"ticker":{"high":310,"low":280,"last":302.1,"vol":42386.255315,"buy":302.12,"sell":304.48}}
1500570844.52={"ticker":{"high":310,"low":280,"last":302.1,"vol":42386.255315,"buy":302.12,"sell":304.48}}
1500570874.92={"ticker":{"high":310,"low":280,"last":302.12,"vol":42394.255315,"buy":302.12,"sell":304.5}}
1500570905.19={"ticker":{"high":310,"low":280,"last":302.12,"vol":42414.488731,"buy":302.11,"sell":302.12}}
1500570935.45={"ticker":{"high":310,"low":280,"last":304,"vol":42426.488731,"buy":302.13,"sell":303.98}}
1500570965.71={"ticker":{"high":310,"low":280,"last":303.98,"vol":42426.518731,"buy":302.13,"sell":303.98}}
1500570995.94={"ticker":{"high":310,"low":280,"last":303.98,"vol":42450.482731,"buy":302.13,"sell":303.98}}
1500571026.24={"ticker":{"high":310,"low":280,"last":302.13,"vol":42460.482731,"buy":302.13,"sell":304}}
1500571056.46={"ticker":{"high":310,"low":280,"last":302.13,"vol":42460.482731,"buy":302.13,"sell":303.98}}
1500571086.81={"ticker":{"high":310,"low":280,"last":302.13,"vol":42460.482731,"buy":303,"sell":304}}
1500571117.04={"ticker":{"high":310,"low":280,"last":302.13,"vol":42475.452731,"buy":302.13,"sell":303}}
1500571147.29={"ticker":{"high":310,"low":280,"last":302.13,"vol":42475.452731,"buy":302.14,"sell":303}}
1500571177.56={"ticker":{"high":310,"low":280,"last":303,"vol":42485.418177,"buy":302.14,"sell":303}}
1500571207.84={"ticker":{"high":310,"low":280,"last":303,"vol":42483.880949,"buy":302.14,"sell":303}}
1500571238.07={"ticker":{"high":310,"low":280,"last":303,"vol":42480.929039,"buy":302.14,"sell":303}}
1500571268.24={"ticker":{"high":310,"low":280,"last":303,"vol":42480.929039,"buy":302.17,"sell":303}}
1500571298.49={"ticker":{"high":310,"low":280,"last":303,"vol":42499.117138,"buy":303,"sell":303.88}}
1500571328.78={"ticker":{"high":310,"low":280,"last":303,"vol":42500.75595,"buy":303,"sell":303.88}}
1500571360.22={"ticker":{"high":310,"low":280,"last":303,"vol":42532.34747,"buy":303,"sell":303.88}}
1500571390.47={"ticker":{"high":310,"low":280,"last":303,"vol":42549.841196,"buy":303,"sell":303.9}}
1500571421.53={"ticker":{"high":310,"low":280,"last":303,"vol":42549.841196,"buy":303,"sell":303.9}}
1500571451.81={"ticker":{"high":310,"low":280,"last":303,"vol":42549.841196,"buy":303,"sell":303.9}}
1500571482.71={"ticker":{"high":310,"low":280,"last":303.9,"vol":42552.838808,"buy":303.9,"sell":304}}
1500571512.95={"ticker":{"high":310,"low":280,"last":303.9,"vol":42552.838808,"buy":303.9,"sell":304}}
1500571543.16={"ticker":{"high":310,"low":280,"last":303.9,"vol":42553.022524,"buy":303.01,"sell":304}}
1500571573.47={"ticker":{"high":310,"low":280,"last":303,"vol":42567.56631,"buy":303,"sell":304}}
1500571603.71={"ticker":{"high":310,"low":280,"last":303,"vol":42567.56631,"buy":303,"sell":304}}
1500571634.84={"ticker":{"high":310,"low":280,"last":303,"vol":42567.56631,"buy":303,"sell":304}}
1500571665.08={"ticker":{"high":310,"low":280,"last":303,"vol":42567.56631,"buy":303,"sell":304}}
1500571695.37={"ticker":{"high":310,"low":280,"last":303,"vol":42567.56631,"buy":303,"sell":304}}
1500571725.65={"ticker":{"high":310,"low":280,"last":303,"vol":42594.69531,"buy":303,"sell":304}}
1500571755.85={"ticker":{"high":310,"low":280,"last":303,"vol":42594.69531,"buy":303,"sell":304}}
1500571786.08={"ticker":{"high":310,"low":280,"last":303,"vol":42639.69531,"buy":303,"sell":304}}
1500571816.29={"ticker":{"high":310,"low":280,"last":303,"vol":42659.194197,"buy":302.15,"sell":303}}
1500571846.57={"ticker":{"high":310,"low":280,"last":303,"vol":42659.194197,"buy":302.15,"sell":303}}
1500571876.82={"ticker":{"high":310,"low":280,"last":303,"vol":42660.844357,"buy":302.15,"sell":303}}
1500571907.09={"ticker":{"high":310,"low":280,"last":303,"vol":42660.844357,"buy":302.15,"sell":303}}
1500571937.46={"ticker":{"high":310,"low":280,"last":303,"vol":42659.126357,"buy":302.15,"sell":303}}
1500571967.76={"ticker":{"high":310,"low":280,"last":303,"vol":42664.088357,"buy":302.15,"sell":303}}
